Temperature (¡C),m/z 18 (H2O),m/z 32 (O2),m/z 44 (CO2),m/z 64 (SO2)
813.238,4.82E-09,4.59E-10,1.09E-10,3.53E-10
816.325,4.86E-09,4.56E-10,1.09E-10,3.68E-10
819.366,4.86E-09,4.58E-10,1.10E-10,3.96E-10
822.442,4.86E-09,4.65E-10,1.09E-10,4.13E-10
825.526,4.84E-09,4.75E-10,1.06E-10,4.39E-10
828.581,4.85E-09,4.79E-10,1.09E-10,4.62E-10
831.665,4.84E-09,4.83E-10,1.04E-10,4.80E-10
834.77,4.82E-09,4.92E-10,1.07E-10,4.99E-10
837.796,4.84E-09,5.01E-10,1.08E-10,5.15E-10
840.887,4.84E-09,5.08E-10,1.05E-10,5.31E-10
843.934,4.83E-09,5.17E-10,1.03E-10,5.40E-10
846.985,4.83E-09,5.23E-10,1.04E-10,5.48E-10
850.103,4.86E-09,5.26E-10,1.05E-10,5.66E-10
853.131,4.85E-09,5.41E-10,1.03E-10,5.75E-10
856.23,4.87E-09,5.54E-10,1.05E-10,5.80E-10
859.245,4.85E-09,5.62E-10,1.06E-10,6.07E-10
862.293,4.84E-09,5.72E-10,1.03E-10,6.11E-10
865.398,4.84E-09,5.89E-10,1.05E-10,6.22E-10
868.43,4.84E-09,6.06E-10,1.04E-10,6.33E-10
871.491,4.86E-09,6.32E-10,1.05E-10,6.47E-10
874.576,4.86E-09,6.44E-10,1.02E-10,6.59E-10
877.636,4.86E-09,6.59E-10,1.00E-10,6.68E-10
880.686,4.84E-09,6.82E-10,1.02E-10,6.82E-10
883.749,4.87E-09,6.96E-10,1.00E-10,7.04E-10
886.805,4.89E-09,7.11E-10,9.82E-11,7.20E-10
889.887,4.88E-09,7.39E-10,9.71E-11,7.40E-10
892.912,4.86E-09,7.51E-10,9.44E-11,7.57E-10
895.942,4.87E-09,7.78E-10,9.19E-11,7.84E-10
899.049,4.87E-09,7.98E-10,9.15E-11,8.11E-10
902.102,4.87E-09,8.35E-10,9.01E-11,8.35E-10
905.155,4.88E-09,8.54E-10,8.74E-11,8.79E-10
908.169,4.85E-09,8.65E-10,8.76E-11,8.89E-10
911.207,4.88E-09,9.00E-10,8.59E-11,9.23E-10
914.293,4.85E-09,9.32E-10,8.65E-11,9.56E-10
917.319,4.86E-09,9.61E-10,8.78E-11,9.94E-10
920.372,4.84E-09,9.97E-10,8.26E-11,1.04E-09
923.425,4.82E-09,1.03E-09,8.14E-11,1.06E-09
926.461,4.76E-09,1.06E-09,8.16E-11,1.11E-09
929.507,4.77E-09,1.10E-09,8.23E-11,1.15E-09
932.54,4.73E-09,1.15E-09,8.12E-11,1.20E-09
935.621,4.69E-09,1.17E-09,8.18E-11,1.22E-09
938.632,4.71E-09,1.22E-09,7.89E-11,1.27E-09
941.7,4.69E-09,1.26E-09,7.86E-11,1.33E-09
944.712,4.67E-09,1.28E-09,7.65E-11,1.33E-09
947.757,4.67E-09,1.29E-09,7.58E-11,1.31E-09
950.793,4.67E-09,1.28E-09,7.46E-11,1.29E-09
953.845,4.62E-09,1.29E-09,7.29E-11,1.29E-09
956.896,4.63E-09,1.31E-09,7.44E-11,1.31E-09
959.956,4.64E-09,1.35E-09,7.36E-11,1.38E-09
963,4.60E-09,1.40E-09,7.40E-11,1.42E-09
966.006,4.60E-09,1.36E-09,7.07E-11,1.30E-09
969.051,4.60E-09,1.27E-09,6.73E-11,1.14E-09
972.102,4.59E-09,1.20E-09,6.52E-11,1.01E-09
975.114,4.56E-09,1.14E-09,6.22E-11,9.19E-10
978.211,4.54E-09,1.12E-09,6.00E-11,8.75E-10
981.244,4.51E-09,1.08E-09,5.91E-11,8.20E-10
984.299,4.51E-09,1.07E-09,5.82E-11,7.73E-10
987.356,4.51E-09,1.05E-09,5.88E-11,7.35E-10
990.404,4.53E-09,1.04E-09,5.24E-11,7.24E-10
993.452,4.51E-09,1.03E-09,5.64E-11,6.85E-10
996.502,4.51E-09,1.03E-09,5.42E-11,6.73E-10
999.553,4.50E-09,1.03E-09,5.13E-11,6.56E-10
