Wavelength (nm),MMS1,MMS2,JSC Mars-1,MGS-1 Prototype
723,0.303405,0.305148,0.274782,0.238213
724,0.304181,0.305835,0.275668,0.238385
725,0.304957,0.30651,0.276541,0.23857
726,0.305728,0.307168,0.277394,0.238773
727,0.306476,0.307791,0.278269,0.238962
728,0.307207,0.308395,0.279127,0.239132
729,0.30793,0.308991,0.279968,0.239287
730,0.308657,0.30959,0.280831,0.239435
731,0.309371,0.310198,0.281674,0.23957
732,0.310077,0.310807,0.282495,0.239704
733,0.310779,0.311398,0.283301,0.239851
734,0.311456,0.311964,0.284086,0.239995
735,0.312114,0.312512,0.284891,0.240128
736,0.312757,0.313047,0.285739,0.240251
737,0.313373,0.313557,0.286565,0.240389
738,0.313992,0.314049,0.287377,0.240531
739,0.314615,0.314529,0.28818,0.240667
740,0.315202,0.314994,0.288967,0.240794
741,0.315775,0.315461,0.289779,0.240928
742,0.316326,0.315899,0.2906,0.241059
743,0.316869,0.316292,0.291422,0.241191
744,0.317416,0.3167,0.292231,0.241318
745,0.317974,0.31713,0.293027,0.241439
746,0.318532,0.317558,0.293806,0.241548
747,0.319053,0.317939,0.29459,0.241639
748,0.31956,0.318322,0.295365,0.241735
749,0.320062,0.318722,0.296125,0.241837
750,0.32052,0.319083,0.296877,0.241909
751,0.320951,0.319419,0.297618,0.241971
752,0.321377,0.319749,0.298356,0.242043
753,0.321787,0.320057,0.299067,0.242104
754,0.322179,0.320339,0.299778,0.242168
755,0.322557,0.320595,0.300497,0.242231
756,0.322943,0.320841,0.301232,0.242301
757,0.32332,0.321095,0.301927,0.242382
758,0.323669,0.321346,0.302604,0.24245
759,0.32399,0.321589,0.303282,0.242498
760,0.324333,0.321844,0.303938,0.242571
761,0.324654,0.322064,0.304616,0.24263
762,0.324945,0.32225,0.305309,0.24267
763,0.325208,0.322434,0.30593,0.242703
764,0.325452,0.322602,0.306542,0.242746
765,0.325693,0.322755,0.307168,0.242786
766,0.325948,0.322898,0.307816,0.242801
767,0.326172,0.323027,0.308457,0.242782
768,0.326375,0.323146,0.309062,0.242749
769,0.326567,0.32325,0.30962,0.242719
770,0.326742,0.323292,0.31018,0.242687
771,0.326913,0.32333,0.310737,0.242648
772,0.327084,0.323385,0.311294,0.242604
773,0.327239,0.323434,0.311873,0.242566
774,0.327375,0.323493,0.312425,0.242547
775,0.327486,0.323565,0.312953,0.242536
776,0.327568,0.32365,0.31349,0.242514
777,0.327637,0.323708,0.314043,0.242498
778,0.327708,0.32374,0.314589,0.242485
779,0.327786,0.323754,0.315104,0.242471
780,0.327825,0.323744,0.315583,0.24245
781,0.327855,0.323737,0.316061,0.242431
782,0.327883,0.323739,0.31654,0.242406
783,0.327918,0.323766,0.317006,0.242366
784,0.327936,0.323769,0.317485,0.242305
785,0.327938,0.323747,0.31797,0.242243
786,0.32793,0.323716,0.318434,0.242208
787,0.327942,0.32368,0.318851,0.242146
788,0.32794,0.323611,0.319259,0.242065
789,0.327889,0.323498,0.31969,0.24198
790,0.327821,0.323412,0.320104,0.241888
791,0.327731,0.323332,0.320505,0.241809
792,0.32763,0.323246,0.320897,0.241743
793,0.327561,0.323159,0.321294,0.241652
794,0.327476,0.323071,0.321698,0.241581
795,0.327375,0.32298,0.322096,0.241529
796,0.327275,0.322872,0.32246,0.241467
797,0.327185,0.322782,0.322807,0.241405
798,0.327077,0.322701,0.323145,0.24134
799,0.326931,0.322612,0.323478,0.241272
800,0.326796,0.322508,0.323778,0.241203
801,0.32665,0.322385,0.3241,0.241134
802,0.326481,0.322246,0.324442,0.241049
803,0.32633,0.32214,0.324747,0.240935
804,0.326191,0.322037,0.325028,0.240826
805,0.326056,0.321916,0.325308,0.240729
806,0.325919,0.321767,0.32562,0.240642
807,0.325762,0.3216,0.325899,0.240553
808,0.325607,0.321428,0.326168,0.240455
809,0.325466,0.321264,0.326449,0.240347
810,0.325308,0.321106,0.326724,0.240249
811,0.325122,0.32095,0.326966,0.240133
812,0.324929,0.320809,0.327201,0.240012
813,0.32473,0.320653,0.327453,0.239895
814,0.324538,0.320482,0.327707,0.239762
815,0.324352,0.320303,0.327948,0.239619
816,0.324171,0.320139,0.328171,0.239492
817,0.323987,0.319991,0.328392,0.239342
818,0.323807,0.319861,0.328624,0.239202
819,0.323633,0.319741,0.328857,0.239088
820,0.323448,0.31959,0.329026,0.238952
821,0.323275,0.319441,0.329187,0.238816
822,0.32311,0.319301,0.329353,0.238674
823,0.322941,0.319164,0.329512,0.238514
824,0.322759,0.319039,0.329698,0.238365
825,0.322572,0.318923,0.32989,0.238217
826,0.322392,0.31881,0.330057,0.238059
827,0.322226,0.318693,0.33023,0.237936
828,0.322078,0.318581,0.330398,0.237821
829,0.321934,0.318477,0.330553,0.237696
830,0.321735,0.31836,0.3307,0.237569
831,0.321543,0.318248,0.330877,0.237439
832,0.321377,0.318146,0.331074,0.237306
833,0.321231,0.318044,0.331247,0.237164
834,0.321127,0.317985,0.331384,0.237013
