Temperature (¡C),Mass (%)
147.702,98.3136
147.82,98.3129
147.942,98.3121
148.065,98.3115
148.188,98.3107
148.311,98.3101
148.43,98.3094
148.554,98.3086
148.678,98.3078
148.802,98.307
148.927,98.3063
149.053,98.3055
149.178,98.3047
149.303,98.3038
149.428,98.3029
149.553,98.3019
149.679,98.3011
149.805,98.3003
149.927,98.2994
150.054,98.2985
150.18,98.2977
150.305,98.2968
150.43,98.2959
150.55,98.295
150.674,98.2942
150.798,98.2933
150.921,98.2923
151.044,98.2915
151.166,98.2904
151.287,98.2895
151.409,98.2883
151.53,98.2872
151.651,98.2861
151.772,98.2848
151.892,98.2835
152.012,98.2822
152.132,98.2807
152.252,98.2793
152.371,98.2777
152.487,98.2762
152.607,98.2745
152.727,98.273
152.849,98.2713
152.971,98.2698
153.089,98.2683
153.212,98.2666
153.336,98.2652
153.461,98.2638
153.587,98.2624
153.714,98.261
153.842,98.2596
153.971,98.2583
154.1,98.2571
154.23,98.2559
154.359,98.2547
154.489,98.2536
154.62,98.2524
154.75,98.2514
154.88,98.2502
155.009,98.249
155.137,98.2479
155.256,98.2468
155.382,98.2456
155.507,98.2444
155.632,98.2433
155.756,98.242
155.87,98.2409
155.992,98.2396
156.113,98.2385
156.233,98.2373
156.353,98.2362
156.473,98.235
156.591,98.2338
156.71,98.2328
156.828,98.2318
156.945,98.2308
157.064,98.2299
157.182,98.229
157.301,98.2283
157.421,98.2276
157.542,98.2268
157.663,98.2261
157.781,98.2254
157.904,98.2249
158.029,98.2242
158.154,98.2235
158.28,98.2228
158.401,98.2221
158.528,98.2213
158.655,98.2205
158.781,98.2195
158.908,98.2185
159.034,98.2176
159.159,98.2165
159.284,98.2154
159.408,98.2143
159.532,98.213
159.654,98.2118
159.775,98.2107
159.897,98.2094
160.018,98.2082
160.139,98.2072
160.26,98.206
160.381,98.205
160.498,98.2041
160.619,98.2031
160.741,98.2022
160.863,98.2013
160.985,98.2005
161.102,98.1998
161.224,98.199
161.346,98.1983
161.468,98.1974
161.59,98.1966
161.713,98.1957
161.835,98.1948
161.957,98.1937
162.08,98.1928
162.203,98.1916
162.325,98.1904
162.447,98.1892
162.568,98.1879
162.689,98.1866
162.811,98.1853
162.933,98.184
163.056,98.1827
163.18,98.1815
163.304,98.1802
163.429,98.1791
163.555,98.1779
163.683,98.1769
163.811,98.1758
163.94,98.1747
164.069,98.1738
164.198,98.1729
164.327,98.172
164.455,98.1711
164.581,98.1703
164.707,98.1694
164.832,98.1684
164.955,98.1674
165.077,98.1665
165.196,98.1655
165.316,98.1645
165.434,98.1633
165.55,98.162
165.667,98.1609
165.78,98.1596
165.897,98.1583
166.015,98.1569
166.134,98.1556
166.253,98.1542
166.37,98.1528
166.491,98.1514
166.614,98.15
166.737,98.1488
166.862,98.1474
166.987,98.1463
167.112,98.1451
167.238,98.1439
167.364,98.1429
167.49,98.1418
167.616,98.1408
167.743,98.1398
167.87,98.139
167.997,98.1381
168.123,98.1372
168.25,98.1365
168.372,98.1356
168.498,98.1349
168.623,98.1341
168.748,98.1332
168.873,98.1324
168.991,98.1316
169.114,98.1307
169.235,98.1298
169.356,98.1288
169.475,98.128
169.594,98.127
169.711,98.1262
169.828,98.1253
169.946,98.1245
170.063,98.1237
170.18,98.1231
170.299,98.1225
170.418,98.1218
170.538,98.1214
170.66,98.1209
170.783,98.1205
170.908,98.1201
171.028,98.1199
171.155,98.1196
171.282,98.1193
171.41,98.119
171.538,98.1188
171.662,98.1185
171.79,98.1181
171.917,98.1176
172.044,98.1171
172.17,98.1167
172.295,98.1161
172.42,98.1154
172.543,98.1146
172.665,98.1139
172.787,98.1131
172.909,98.1123
173.03,98.1113
173.152,98.1104
173.274,98.1095
173.396,98.1087
173.519,98.1078
173.633,98.107
173.757,98.1062
173.881,98.1055
174.004,98.1048
174.128,98.1043
174.243,98.1036
174.367,98.1031
174.491,98.1025
174.614,98.1021
174.737,98.1015
174.859,98.101
174.981,98.1005
175.103,98.0998
175.224,98.0992
175.345,98.0985
175.465,98.0978
175.584,98.097
175.703,98.0963
175.822,98.0954
175.941,98.0945
176.061,98.0937
176.18,98.0927
176.296,98.0919
176.416,98.0909
176.536,98.09
176.657,98.089
176.781,98.0882
176.901,98.0874
177.026,98.0865
177.152,98.0858
177.279,98.085
177.406,98.0842
177.534,98.0835
177.661,98.0828
177.788,98.0821
177.915,98.0813
178.041,98.0807
178.165,98.0799
178.288,98.0792
178.409,98.0785
178.531,98.0776
178.649,98.0767
178.768,98.0759
178.883,98.075
179.003,98.074
179.122,98.0731
179.243,98.0721
179.365,98.0711
179.483,98.07
179.606,98.0689
179.729,98.0679
179.855,98.0667
179.981,98.0657
180.107,98.0645
180.233,98.0635
180.36,98.0624
180.485,98.0614
180.61,98.0603
180.734,98.0594
180.858,98.0584
180.981,98.0576
181.103,98.0567
181.225,98.0559
181.346,98.0552
181.467,98.0544
181.588,98.0537
181.712,98.0532
181.836,98.0526
181.961,98.0521
182.087,98.0516
