dataset_source,phase,type,wt_pct,wavelength_(nm),mms1,mms2,jsc_mars-1,mgs-1_prototype,temperature_(¡c),m/z_18_(h2o),m/z_32_(o2),m/z_44_(co2),m/z_64_(so2),mass_(%),diameter_(microns),%_retained,%_channel
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Plagioclase,Crystalline,27.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Pyroxene,Crystalline,20.3,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Olivine,Crystalline,13.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Magnetite,Crystalline,1.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hematite,Crystalline,1.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Anhydrite,Crystalline,0.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Quartz,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ilmenite,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Basaltic Glass,Amorphous,22.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hydrated Silica (Opal),Amorphous,5.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Mg-sulfate,Amorphous,4.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ferrihydrite,Amorphous,1.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Fe-carbonate,Amorphous,1.4,,,,,,,,,,,,,,
fig4_spectralData.csv,,,,428.0,0.0857548,0.0846796,0.0270778,0.0992127,,,,,,,,,
fig4_spectralData.csv,,,,429.0,0.0858959,0.0846747,0.0274111,0.0995328,,,,,,,,,
fig4_spectralData.csv,,,,430.0,0.086119,0.0847944,0.0277299,0.0998201,,,,,,,,,
fig4_spectralData.csv,,,,431.0,0.0863857,0.0849719,0.0280444,0.100118,,,,,,,,,
fig4_spectralData.csv,,,,432.0,0.0866001,0.085054,0.028413,0.100476,,,,,,,,,
fig4_spectralData.csv,,,,433.0,0.0868197,0.0851768,0.0287604,0.100787,,,,,,,,,
fig4_spectralData.csv,,,,434.0,0.0870928,0.0853218,0.0291315,0.1011,,,,,,,,,
fig4_spectralData.csv,,,,435.0,0.0873997,0.0854589,0.029538,0.101451,,,,,,,,,
fig4_spectralData.csv,,,,436.0,0.0875682,0.0855472,0.0299173,0.101818,,,,,,,,,
fig4_spectralData.csv,,,,437.0,0.0878137,0.0857091,0.0301875,0.102175,,,,,,,,,
fig4_spectralData.csv,,,,438.0,0.0881325,0.0859095,0.0304197,0.10252,,,,,,,,,
fig4_spectralData.csv,,,,439.0,0.0884127,0.0860387,0.030764,0.102871,,,,,,,,,
fig4_spectralData.csv,,,,440.0,0.08866,0.0861698,0.0311584,0.103226,,,,,,,,,
fig4_spectralData.csv,,,,441.0,0.0888464,0.0862651,0.0315864,0.103582,,,,,,,,,
fig4_spectralData.csv,,,,442.0,0.0890029,0.0863261,0.0319968,0.103943,,,,,,,,,
fig4_spectralData.csv,,,,443.0,0.0893527,0.0865314,0.0321896,0.104329,,,,,,,,,
fig4_spectralData.csv,,,,444.0,0.0896774,0.0866953,0.0324662,0.104694,,,,,,,,,
